geography_code,geography_type,comparison,retailer_label,direct_state,justeat_state,channel_category
E01000001,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000002,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000003,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000005,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000006,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000007,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000008,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000009,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000011,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000012,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000013,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000014,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000015,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000016,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000017,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000018,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000019,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000020,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000021,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000022,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000024,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000025,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000027,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000028,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000029,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000030,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000031,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000032,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000033,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000034,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000035,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000036,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000037,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000038,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000039,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000040,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000041,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000042,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000043,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000044,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000045,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000046,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000049,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000050,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000051,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000052,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000053,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000054,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000055,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000056,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000057,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000058,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000059,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000060,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000061,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000062,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000063,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000064,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000065,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000066,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000067,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000068,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000069,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000070,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000071,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000072,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000073,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000074,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000075,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000076,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000077,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000078,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000079,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000080,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000081,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000082,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000083,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000084,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000085,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000086,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000087,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000088,lsoa,coop,Co-op,Yes,Yes,Both channels
E01000089,lsoa,coop,Co-op,Yes,Yes,Both channels
